icao24,origin_country,velocity,on_ground
c02267,Canada,205.29,False
a9522d,United States,111.35,False
abad94,United States,166.12,False
4acb41,Sweden,238.08,False
4acb42,Sweden,233.21,False
4acb45,Sweden,101.04,False
ad8a57,United States,56.31,False
ad9d88,United States,0.9,True
a4b294,United States,234.33,False
a88bde,United States,126.37,False
0d0ae8,Mexico,209.66,False
4b187c,Switzerland,204.1,False
4b187e,Switzerland,211.07,False
ac713f,United States,211.34,False
3c65ac,Germany,238.7,False
aae1ea,United States,233.91,False
4b187a,Switzerland,157.16,False
3455d7,Spain,205.39,False
4b1884,Switzerland,190.86,False
adb7ee,United States,114.72,False
ac7169,United States,0.0,True
4acb58,Sweden,236.98,False
470bc8,Hungary,64.41,False
4acb59,Sweden,189.53,False
0d0af1,Mexico,228.73,False
a05777,United States,191.21,False
a6f251,United States,31.56,False
a0f4a2,United States,0.51,True
0800af,United Republic of Tanzania,252.51,False
44023f,Austria,220.38,False
ac1afa,United States,206.29,False
3c5ee7,Germany,244.32,False
3c5ee6,Germany,3.34,True
80168c,India,213.38,False
0d11e4,Mexico,231.07,False
86d6ac,Japan,260.48,False
0d0aef,Mexico,218.35,False
a9653d,United States,238.84,False
ac6a7c,United States,80.81,False
a127af,United States,46.47,False
3c65d4,Germany,239.86,False
4bc8cb,Turkey,234.68,False
acd481,United States,235.06,False
e8021d,Chile,211.75,False
a915e6,United States,159.0,False
3c65d2,Germany,232.53,False
3c65d1,Germany,151.1,False
ab2916,United States,307.63,False
3c65c7,Germany,236.74,False
ac848a,United States,69.26,False
a127b1,United States,62.35,False
aded77,United States,5.66,True
3c65c9,Germany,243.0,False
3c65c8,Germany,232.65,False
e492ba,Brazil,120.58,False
a94b2e,United States,203.01,False
3c5ee4,Germany,218.12,False
3c5ee3,Germany,189.28,False
800373,India,207.77,False
ad41ed,United States,188.06,False
3c5ef8,Germany,102.38,False
e8022a,Chile,235.83,False
3c65ce,Germany,88.0,False
3c65cd,Germany,137.3,False
3c5ef6,Germany,224.31,False
a127bb,United States,223.43,False
a7126a,United States,218.03,False
46b82b,Greece,243.03,False
46b82c,Greece,0.0,True
3c5eec,Germany,165.12,False
46b82f,Greece,254.96,False
e80244,Chile,232.99,False
c0226c,Canada,299.32,False
a5d28c,United States,288.91,False
a45b7f,United States,51.54,False
a71288,United States,50.97,False
a04424,United States,256.02,False
acc144,United States,62.76,False
3c5ef0,Germany,225.77,False
a7d5ff,United States,75.2,False
3c65cc,Germany,229.78,False
3c5ef2,Germany,115.28,False
a09dbb,United States,16.59,False
a42747,United States,62.76,False
a0dac5,United States,208.49,False
a6eb1e,United States,9.77,True
c0220d,Canada,219.4,False
a26a1d,United States,89.99,False
a5de70,United States,37.68,False
a5824e,United States,137.71,False
ab89c3,United States,53.7,False
0c4185,Dominican Republic,204.46,False
a1a110,United States,181.89,False
a33aa7,United States,181.91,False
a22dce,United States,45.81,False
44020a,Austria,236.0,False
a091d5,United States,251.93,False
a4ab74,United States,263.85,False
aab9c7,United States,44.67,False
440209,Austria,5.66,True
505dcd,Slovakia,255.8,False
ad8a80,United States,52.71,False
a52bfb,United States,54.03,False
aa30ab,United States,53.35,False
ab1614,United States,41.19,False
440202,Austria,246.28,False
a665ff,United States,279.82,False
ac2f18,United States,247.4,False
a101c3,United States,181.56,False
a114f4,United States,5.14,True
a73882,United States,78.94,False
a808df,United States,126.8,False
a8584a,United States,216.01,False
aa9f97,United States,197.03,False
8851e1,Thailand,213.48,False
a1ad44,United States,209.17,False
46b824,Greece,242.74,False
a70b2f,United States,122.18,False
46b825,Greece,243.09,False
46b823,Greece,232.61,False
46b828,Greece,224.89,False
a83e49,United States,0.0,True
a7cec1,United States,122.89,False
46b826,Greece,243.7,False
a7123a,United States,183.37,False
a0310f,United States,224.76,False
440237,Austria,254.5,False
a96510,United States,39.72,False
a785fd,United States,75.22,False
0d0ac7,Mexico,212.92,False
4acb5a,Sweden,93.99,False
c01b4f,Canada,230.11,False
47880f,Norway,124.1,False
aa43c4,United States,200.49,False
aa56f8,United States,116.8,False
a247df,United States,53.75,False
a8a82f,United States,264.47,False
ab0307,United States,34.14,False
440224,Austria,138.25,False
a85887,United States,9.77,True
a29748,United States,165.96,False
a08acb,United States,133.41,False
a1775f,United States,209.09,False
c082c2,Canada,176.5,False
a5de8e,United States,88.96,False
a58de0,United States,13.38,True
a2ba48,United States,221.23,False
758368,Philippines,11.32,True
aa441c,United States,257.82,False
aa07f9,United States,221.48,False
c0482a,Canada,207.38,False
a617dd,United States,50.63,False
a71dab,United States,32.68,False
7c7ccc,Australia,82.53,False
a4c4aa,United States,223.63,False
a0e1e8,United States,259.28,False
c03517,Canada,224.42,False
a2d44a,United States,58.15,False
